"STATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"USW00023272","2024-05-30","0.00","0.0",,"70","53"
"USW00023272","2024-05-31","0.00","0.0",,"69","53"
"USW00023272","2024-06-01","0.00","0.0",,"62","52"
"USW00023272","2024-06-02","0.00","0.0",,"62","51"
"USW00023272","2024-06-03","0.00","0.0",,"64","54"
"USW00023272","2024-06-04","0.00","0.0",,"74","54"
"USW00023272","2024-06-05","0.00","0.0",,"76","56"
"USW00023272","2024-06-06","0.00","0.0",,"62","53"
"USW00023272","2024-06-07","0.00","0.0",,"64","53"
"USW00023272","2024-06-08","0.00","0.0",,"62","52"
"USW00023272","2024-06-09","0.00","0.0",,"62","52"
"USW00023272","2024-06-10","0.00","0.0",,"66","51"
"USW00023272","2024-06-11","0.00","0.0",,"74","53"
"USW00023272","2024-06-12","0.00","0.0",,"63","53"
"USW00023272","2024-06-13","0.00","0.0",,"58","52"
"USW00023272","2024-06-14","0.00","0.0",,"63","52"
"USW00023272","2024-06-15","0.00","0.0",,"71","52"
"USW00023272","2024-06-16","0.00","0.0",,"67","53"
"USW00023272","2024-06-17","0.00","0.0",,"72","50"
"USW00023272","2024-06-18","0.00","0.0",,"72","52"
"USW00023272","2024-06-19","0.00","0.0",,"58","51"
"USW00023272","2024-06-20","0.00","0.0",,"58","50"
"USW00023272","2024-06-21","0.00","0.0",,"68","50"
"USW00023272","2024-06-22","0.00","0.0",,"66","51"
"USW00023272","2024-06-23","0.00","0.0",,"69","54"
"USW00023272","2024-06-24","0.00","0.0",,,"52"
"USW00023272","2024-06-25","0.00","0.0",,,
"USW00023272","2024-06-26","0.00","0.0",,"62","52"
"USW00023272","2024-06-27","0.00","0.0",,"65","51"
"USW00023272","2024-06-28","0.00","0.0",,"72","52"
"USW00023272","2024-06-29","0.00","0.0",,"70","53"
"USW00023272","2024-06-30","0.00","0.0",,"74","55"
"USW00023272","2024-07-01","0.00","0.0",,"74","55"
"USW00023272","2024-07-02","0.00",,,"84","56"
"USW00023272","2024-07-03","0.00",,,"78","59"
"USW00023272","2024-07-04","0.00",,,"78","55"
"USW00023272","2024-07-05","0.00",,,"71","53"
"USW00023272","2024-07-06","0.00",,,"71","56"
"USW00023272","2024-07-07","0.00","0.0",,"67","56"
"USW00023272","2024-07-08","0.00","0.0",,"68","56"
"USW00023272","2024-07-09","0.00","0.0",,"66","57"
"USW00023272","2024-07-10","0.00","0.0",,"68","56"
"USW00023272","2024-07-11","0.00","0.0",,"74","55"
"USW00023272","2024-07-12","0.00","0.0",,"66","54"
"USW00023272","2024-07-13","0.00","0.0",,"65","54"
"USW00023272","2024-07-14","0.00","0.0",,"65","56"
"USW00023272","2024-07-15","0.00","0.0",,"65","56"
"USW00023272","2024-07-16","0.00","0.0",,"67","56"
"USW00023272","2024-07-17","0.00","0.0",,"65","55"
"USW00023272","2024-07-18","0.00","0.0",,"66","56"
"USW00023272","2024-07-19","0.00","0.0",,"75","54"
"USW00023272","2024-07-20","0.00","0.0",,"68","54"
"USW00023272","2024-07-21","0.00","0.0",,"61","53"
"USW00023272","2024-07-22","0.00","0.0",,"66","55"
"USW00023272","2024-07-23","0.00","0.0",,"73","54"
"USW00023272","2024-07-24","0.00","0.0",,"74","58"
"USW00023272","2024-07-25","0.00","0.0",,"71","57"
"USW00023272","2024-07-26","0.00","0.0",,"63","55"
"USW00023272","2024-07-27","0.00","0.0",,"59","54"
"USW00023272","2024-07-28","0.00","0.0",,"67","54"
"USW00023272","2024-07-29","0.00","0.0",,"62","55"
"USW00023272","2024-07-30","0.01","0.0",,"66","56"
"USW00023272","2024-07-31","0.00","0.0",,"67","56"
"USW00023272","2024-08-01","0.00","0.0",,"69","54"
"USW00023272","2024-08-02","0.00","0.0",,"66","55"
"USW00023272","2024-08-03","0.00","0.0",,"70","55"
"USW00023272","2024-08-04","0.00","0.0",,"63","54"
"USW00023272","2024-08-05","0.00","0.0",,"62","53"
"USW00023272","2024-08-06","0.00","0.0",,"69","53"
"USW00023272","2024-08-07","0.00","0.0",,"72","55"
"USW00023272","2024-08-08","0.00","0.0",,"62","54"
"USW00023272","2024-08-09","0.00","0.0",,"63","52"
"USW00023272","2024-08-10","0.00","0.0",,"66","54"
"USW00023272","2024-08-11","0.00","0.0",,"63","53"
"USW00023272","2024-08-12","0.00","0.0",,"64","53"
"USW00023272","2024-08-13","0.00","0.0",,"70","54"
"USW00023272","2024-08-14","0.00","0.0",,"65","54"
"USW00023272","2024-08-15","0.00","0.0",,"69","54"
"USW00023272","2024-08-16","0.00","0.0",,"70","55"
"USW00023272","2024-08-17","0.00","0.0",,"73","57"
"USW00023272","2024-08-18","0.00","0.0",,"67","57"
"USW00023272","2024-08-19","0.00","0.0",,"68","55"
"USW00023272","2024-08-20","0.00","0.0",,"74","55"
"USW00023272","2024-08-21","0.00","0.0",,"67","57"
"USW00023272","2024-08-22","0.00","0.0",,"69","58"
"USW00023272","2024-08-23","0.00","0.0",,"69","58"
"USW00023272","2024-08-24","0.04","0.0",,"72","60"
"USW00023272","2024-08-25","0.00","0.0",,"76","57"
"USW00023272","2024-08-26","0.00","0.0",,"78","57"
"USW00023272","2024-08-27","0.00","0.0",,"79","56"
"USW00023272","2024-08-28","0.00","0.0",,"68","57"
"USW00023272","2024-08-29","0.00","0.0",,"67","57"
"USW00023272","2024-08-30","0.00","0.0",,"67","59"
"USW00023272","2024-09-01","0.00","0.0",,"68","57"
"USW00023272","2024-09-02","0.00","0.0",,"69","59"
"USW00023272","2024-09-03","0.00","0.0",,"85","57"
"USW00023272","2024-09-04","0.00","0.0",,"68","57"
"USW00023272","2024-09-05","0.00","0.0",,"71","54"
"USW00023272","2024-09-06","0.00","0.0",,"70","55"
"USW00023272","2024-09-07","0.00","0.0",,"66","54"
"USW00023272","2024-09-08","0.00","0.0",,"70","53"
"USW00023272","2024-09-09","0.00","0.0",,"64","55"
"USW00023272","2024-09-10","0.00","0.0",,"63","57"
"USW00023272","2024-09-11","0.00","0.0",,"66","55"
"USW00023272","2024-09-12","0.00","0.0",,"71","53"
"USW00023272","2024-09-13","0.00","0.0",,"71","54"
"USW00023272","2024-09-14","0.00","0.0",,"64","54"
"USW00023272","2024-09-15","0.00","0.0",,"62","54"
"USW00023272","2024-09-16","0.00","0.0",,"67","54"
